text,label
I like working with others on creative projects,Butterfly
I enjoy meeting new people and sharing ideas,Butterfly
I feel energized when I collaborate in a team,Butterfly
I often join different groups and communities,Butterfly
I prefer doing tasks on my own,Ant
I feel comfortable focusing deeply on one problem,Ant
I like working independently without distractions,Ant
I prefer planning everything carefully before starting,Ant
I like leading others and organizing group efforts,Bee
I enjoy motivating people to work toward a common goal,Bee
I feel responsible when I coordinate tasks for a team,Bee
I often take initiative to help others achieve results,Bee
I often rely on others to guide me in my work,Leech
I feel more secure when someone else makes the decisions,Leech
I usually wait for instructions before starting something,Leech
I prefer following strong leaders instead of leading myself,Leech
